22:45|quarter to eleven|If this is so, we have now to determine what Barker and Mrs. Douglas, presuming they are not the actual murderers, would have been doing from quarter to eleven, when the sound of the shot brought them down, until quarter past eleven, when they rang for the bell and summoned the servants.|The Valley of Fear|Sir Arthur Conan Doyle|unknown
6:41|six forty-one|He made it to Grand Central well in advance. Stillman's train was not due to arrive until six forty-one, but Quinn wanted time to study the geography of the place, to make sure that Stillman would not be able to slip away from him.|The New York Trilogy|Paul Auster|unknown
6:37|Nearly twenty to seven|Amy: What's that? I thought I saw someone pass the window. What time is it?<br/>Charles: Nearly twenty to seven.|The Family Reunion|T.S. Eliot|unknown
6:55|five to seven|"... You had no reason to think the times important. Indeed how suspicious it would be if you had been completely accurate. ''Haven't I been?'' Not quite. It was five to seven that you talked to Wilkins. ''Another ten minutes."""|The Quiet American|Graham Greene|unknown
19:39|7.39|Now, at the station, do you recall speaking to Mr Joseph Markew?' 'Yes, indeed. I was standing on the platform waiting for my usual train - the 7.39 - when he accosted me.'|Arthur & George|Julian Barnes|unknown
21:45|9.45|9.15, 9.30, 9.45, 10! Bond felt the excitement ball up inside him like cat's fur.|On Her Majesty's Secret Service|Ian Fleming|unknown
20:07|20:07|20:07 Some trust in chariots and some in horses, but we trust in the name of the Lord our God.|Psalms|ESV|unknown
13:06|13 hours and 6 minutes|And then at precisely 13 hours and 6 minutes-confusion broke out in the rectangle.|We|Yevgeny Zamyatin|unknown
17:33|5:33 pm|I listen to the different boats' horns, hoping to learn what kind of boat I'm hearing and what the signal means: is the boat leaving or entering the harbor; is it the ferry, or a whale-watching boat, or a fishing boat? At 5:33 pm there is a blast of two deep, resonant notes a major third apart. On another day there is the same blast at 12:54 pm. On another, exactly 8:00 am.|Varieties of Disturbance|Lydia Davis|unknown
08:00|8:00 am|I listen to the different boats' horns, hoping to learn what kind of boat I'm hearing and what the signal means: is the boat leaving or entering the harbor; is it the ferry, or a whale-watching boat, or a fishing boat? At 5:33 pm there is a blast of two deep, resonant notes a major third apart. On another day there is the same blast at 12:54 pm. On another, exactly 8:00 am.|Varieties of Disturbance|Lydia Davis|unknown
12:54|12:54 pm|I listen to the different boats' horns, hoping to learn what kind of boat I'm hearing and what the signal means: is the boat leaving or entering the harbor; is it the ferry, or a whale-watching boat, or a fishing boat? At 5:33 pm there is a blast of two deep, resonant notes a major third apart. On another day there is the same blast at 12:54 pm. On another, exactly 8:00 am.|Varieties of Disturbance|Lydia Davis|unknown
01:45|ten or fifteen minutes to two|And the whole house seemed resounding with his shouts. When it was ten or fifteen minutes to two the deacon would come in; he was a lanky young man of twenty-two, with long hair, with no beard and a hardly perceptible moustache. Going into the drawing-room, he crossed himself before the ikon, smiled, and held out his hand to Von Koren. 'Good-morning,' the zoologist said coldly. 'Where have you been?'|The Duel|Anton Pavlovich Chekhov|unknown
01:47|ten or fifteen minutes to two|And the whole house seemed resounding with his shouts. When it was ten or fifteen minutes to two the deacon would come in; he was a lanky young man of twenty-two, with long hair, with no beard and a hardly perceptible moustache. Going into the drawing-room, he crossed himself before the ikon, smiled, and held out his hand to Von Koren. 'Good-morning,' the zoologist said coldly. 'Where have you been?'|The Duel|Anton Pavlovich Chekhov|unknown
01:50|ten or fifteen minutes to two|And the whole house seemed resounding with his shouts. When it was ten or fifteen minutes to two the deacon would come in; he was a lanky young man of twenty-two, with long hair, with no beard and a hardly perceptible moustache. Going into the drawing-room, he crossed himself before the ikon, smiled, and held out his hand to Von Koren. 'Good-morning,' the zoologist said coldly. 'Where have you been?'|The Duel|Anton Pavlovich Chekhov|unknown
02:40|forty minutes past two|The water leaden-white, even as the grey gleam of water is in latest twilight. Now while I have been writing this and gazing between-whiles (it is forty minutes past two), the break over the road is swallowed up, and the stars gone; the break over the house is narrowed into a rude circle, and on the edge of its circumference one very bright star. See!|Anima Poetae|Samuel Taylor Coleridge
13:33|one ... thirty-three|He waited for the green light to show and then opened the door again on to the now empty cargo hold.'... one ... thirty-three ... and fifty seconds.' Very nice.|So Long, and Thanks for All the Fish|Douglas Adams|unknown
13:42|1.42pm|The last note was recorded at 1.42pm: G.M. on site at H-by; will take over the matter.|The Girl With The Dragon Tattoo|Stieg Larsson
14:41|2.41|At 2.41, when the afternoon fast train to London was pulling out of Larborough prompt to the minute, Miss Pym sat under the cedar on the lawn wondering whether she was a fool, and not caring much anyhow.|Miss Pym Disposes|Josephine Tey|unknown
17:47|thirteen minutes to six|'Then I take it the matter is practically concluded,' said the clergyman. 'And that you very properly submit to return to your proper home. And now, if I may offer a suggestion, it is that we take tea. Freed of its tannin, nothing, I think, is more refreshing and stimulating.' 'There's a train from Lyndhurst at thirteen minutes to six,' said Widgery, unfolding a time table.|The Wheels of Chance: A Bicycling Idyll|H. G. Wells
17:55|five minutes to six|'I think we'll be lucky if we get away before they arrive.' At five minutes to six I was in position at the end of the strip with my engine running, ready for take-off.|Going Solo|Roald Dahl
03:00|about three or four o'clock|Fyodor Pavlovich went to bed very late, at about three or four o'clock in the morning, and until then would pace around the room or sit in his armchair and think.|The Brothers Karamazov|Fyodor Dostoevsky
03:10|about three or four o'clock|Fyodor Pavlovich went to bed very late, at about three or four o'clock in the morning, and until then would pace around the room or sit in his armchair and think.|The Brothers Karamazov|Fyodor Dostoevsky
03:20|about three or four o'clock|Fyodor Pavlovich went to bed very late, at about three or four o'clock in the morning, and until then would pace around the room or sit in his armchair and think.|The Brothers Karamazov|Fyodor Dostoevsky
03:30|about three or four o'clock|Fyodor Pavlovich went to bed very late, at about three or four o'clock in the morning, and until then would pace around the room or sit in his armchair and think.|The Brothers Karamazov|Fyodor Dostoevsky
03:40|about three or four o'clock|Fyodor Pavlovich went to bed very late, at about three or four o'clock in the morning, and until then would pace around the room or sit in his armchair and think.|The Brothers Karamazov|Fyodor Dostoevsky
03:50|about three or four o'clock|Fyodor Pavlovich went to bed very late, at about three or four o'clock in the morning, and until then would pace around the room or sit in his armchair and think.|The Brothers Karamazov|Fyodor Dostoevsky
03:15|about three or four o'clock|Fyodor Pavlovich went to bed very late, at about three or four o'clock in the morning, and until then would pace around the room or sit in his armchair and think.|The Brothers Karamazov|Fyodor Dostoevsky
14:52|eight minutes to three|"Mr. Kesselbach, it is eight minutes to three. If you don't answer within eight minutes from now, you are a dead man!"|813|Maurice LeBlanc|sfw
14:42|14:42|14:42 Rise, let us be going; see, my betrayer is at hand.”|Mark|ESV|unknown
